question_id,db_id,difficulty,question_type,category,subtype,reason
1139,european_football_2,challenging,retrieval,Predicate error,Filter value error,league name spelled 'Belgian Jupiler League' instead of the stored 'Belgium Jupiler League'
1144,european_football_2,simple,retrieval,Nesting problem,wrong sub-query,"missing subquery finding ALL players tied for MAX(weight); collapses to ORDER BY/LIMIT 1, dropping ties"
1145,european_football_2,simple,aggregate,Predicate error,Filter value error,season='2015-2016' (hyphen) instead of gold's '2015/2016' (slash)
1147,european_football_2,simple,aggregate,Schema linking,wrong column,subquery ranks by strength instead of gold's overall_rating
1148,european_football_2,moderate,aggregate,Schema linking,wrong column,references `strength` (a Player_Attributes-only column) directly on Player with no join present at all; also substitutes overall_rating>70 with strength>70
1149,thrombosis_prediction,moderate,aggregate,Predicate error,Filter value error,"uses 'Inpatient'/'Outpatient'/'Male' instead of the actual stored codes '+'/'-'/'M', causing zero matches; also introduces a GROUP BY admission_type gold doesn't have"
1150,thrombosis_prediction,moderate,aggregate,Predicate error,Filter value error,sex='female' instead of the stored single-letter code 'F'
1152,thrombosis_prediction,moderate,aggregate,Predicate error,Filter value error,admission_type='Inpatient'/'Outpatient' instead of the stored codes '+'/'-'
1155,thrombosis_prediction,simple,retrieval,Predicate error,Filter value error,lactate_dehydrogenase>175 instead of gold's threshold >500 - a wrong/invented value
1156,thrombosis_prediction,moderate,retrieval,Schema linking,wrong column,filters on thrombosis_degree>0 instead of gold's russell_viper_venom_time='+' - a completely different Examination column
1157,thrombosis_prediction,simple,retrieval,Predicate error,Filter value error,thrombosis_degree='severe' (a string) instead of the real numeric value 2
1162,thrombosis_prediction,moderate,aggregate,Predicate error,Filter value error,uses sex='female' and admission_type='门诊' (Chinese text) instead of the stored codes 'F' and '-'
1164,thrombosis_prediction,moderate,aggregate,Predicate error,Predicate semantic error,uses thrombosis_degree=(SELECT MAX(thrombosis_degree) FROM Examination) instead of the literal value 1; also sex='女' (Chinese) instead of 'F'
1166,thrombosis_prediction,simple,retrieval,Nesting problem,wrong set operation,drops gold's UNION with the NOT EXISTS edge-case branch entirely
1168,thrombosis_prediction,challenging,retrieval,Schema linking,wrong column,"substitutes Patient.first_record_date (via MAX, patient-level) for gold's Laboratory.Date (individual lab record date); also computes age relative to 'now' instead of gold's Patient.""First Date"" field"
1169,thrombosis_prediction,challenging,aggregate,Predicate error,Predicate semantic error,"replaces gold's sex-specific UA threshold logic (M:<=8.0, F:<=6.5) with a generic 'uric_acid > AVG' filter and simple male/female counts; also uses 'male'/'female' instead of 'M'/'F'"
1171,thrombosis_prediction,challenging,aggregate,Predicate error,Filter value error,age difference compared to <0 instead of gold's <18 - a wrong threshold value
1175,thrombosis_prediction,moderate,retrieval,Other,SELECT-list shape,SELECT returns raw birthday instead of computing age like gold does; also adds a possibly row-multiplying Examination join
1179,thrombosis_prediction,moderate,retrieval,Other,SELECT-list shape,selects three IgG/IgM/IgA columns instead of just the requested aCL IgM column
1185,thrombosis_prediction,challenging,aggregate,Other,wrong aggregate function or scaling,computes (MAX-MIN)/COUNT(DISTINCT Date) instead of gold's SUM(Nov T-CHO)-SUM(Dec T-CHO))/SUM(Nov T-CHO) - a different aggregate approach entirely
1187,thrombosis_prediction,moderate,retrieval,Schema linking,wrong column,filters on Examination.examination_date instead of gold's Laboratory.Date - a different real date column; also adds unnecessary Patient/Examination joins
1189,thrombosis_prediction,challenging,aggregate,Predicate error,Predicate semantic error,subquery computes AVG(anticardiolipin_igm)*1.2 over ALL Examination rows instead of restricting to Thrombosis=2 AND ANA Pattern='S' as gold's subquery does
1192,thrombosis_prediction,challenging,retrieval,Predicate error,Filter value error,uses admission_type='门诊' (Chinese text) instead of '-'; total_bilirubin BETWEEN 5.1 AND 20.0 instead of gold's < 2.0
1195,thrombosis_prediction,moderate,aggregate,Predicate error,Filter value error,sex='female' instead of the stored single-letter code 'F'
1198,thrombosis_prediction,simple,aggregate,Predicate error,Filter value error,sex='female' instead of the stored single-letter code 'F'
1201,thrombosis_prediction,moderate,aggregate,Predicate error,Filter value error,CASE WHEN sex='女' (Chinese text) instead of 'F'
1205,thrombosis_prediction,moderate,retrieval,Predicate error,Predicate semantic error,"replaces gold's sex-specific UA threshold logic (F: >6.5, M: >8.0) with a single generic 'uric_acid BETWEEN 2.4 AND 7.0' check that doesn't reference Patient.SEX at all"
1208,thrombosis_prediction,moderate,retrieval,Predicate error,Filter value error,sex='male' instead of 'M'; alanine_aminotransferase>40 instead of gold's >=60
1209,thrombosis_prediction,moderate,retrieval,Predicate error,Filter value error,threshold >40 instead of gold's >60
1220,thrombosis_prediction,simple,retrieval,Predicate error,Filter value error,urea_nitrogen=15 instead of gold's exact value 29
1225,thrombosis_prediction,moderate,aggregate,Predicate error,Predicate semantic error,replaces gold's single T-BIL>=2.0 threshold with a totally different two-sided '< 0.3 OR > 1.2' range; also uses COUNT(*) instead of GROUP_CONCAT(DISTINCT ID)
1227,thrombosis_prediction,moderate,aggregate,Invalid SQL,Other execution error,no such function: YEAR (non-SQLite function)
1229,thrombosis_prediction,moderate,aggregate,Predicate error,Filter value error,threshold >150 instead of gold's >=200
1231,thrombosis_prediction,challenging,aggregate,Predicate error,Filter value error,sex='male' instead of 'M'; threshold >100 instead of gold's >=250
1232,thrombosis_prediction,challenging,retrieval,Predicate error,Predicate semantic error,replaces gold's simple GLU>=180 threshold with a two-sided '<70 OR >110' abnormal-range check (also missing parentheses causes an operator-precedence bug); total_cholesterol BETWEEN 150-200 instead of gold's <250
1235,thrombosis_prediction,moderate,retrieval,Predicate error,Predicate semantic error,compares red_blood_cell_count against a computed AVG(...) subquery instead of gold's fixed literal threshold 3.5
1238,thrombosis_prediction,moderate,retrieval,Predicate error,Filter value error,hemoglobin BETWEEN 13.5-17.5 instead of gold's >10 AND <17
1239,thrombosis_prediction,challenging,aggregate,Predicate error,Filter value error,hematocrit BETWEEN 45-50 instead of gold's >=52 - a non-overlapping wrong threshold
1241,thrombosis_prediction,challenging,aggregate,Predicate error,Filter value error,platelet_count thresholds 150/450 instead of gold's 100/400
1242,thrombosis_prediction,challenging,retrieval,Predicate error,Filter value error,platelet_count BETWEEN 150000-450000 instead of gold's 100-400 - assumes a different unit scale than actually stored
1243,thrombosis_prediction,challenging,aggregate,Predicate error,Predicate semantic error,restructures gold's nested-CASE percentage-within-PT>=14-subset calculation into a flat WHERE-based percentage over the whole age>55 population; also uses PT>13.5 instead of gold's >=14
1247,thrombosis_prediction,challenging,aggregate,Predicate error,Filter value error,sex='male' instead of 'M'; white_blood_cell_count BETWEEN 4000-11000 (wrong unit scale) instead of 3.5-9.0; fibrinogen>400 instead of gold's >=450
1251,thrombosis_prediction,simple,aggregate,Predicate error,Filter value error,immunoglobulin_g>11.9 instead of gold's >=2000
1252,thrombosis_prediction,moderate,aggregate,Predicate error,Filter value error,uses immunoglobulin_g='normal' (a nonexistent categorical value) instead of gold's numeric BETWEEN 900-2000 range
1254,thrombosis_prediction,moderate,aggregate,Predicate error,Filter value error,immunoglobulin_a='normal' instead of gold's numeric BETWEEN 80-500 range
1255,thrombosis_prediction,moderate,aggregate,Predicate error,Filter value error,immunoglobulin_m>100 instead of gold's (<=40 OR >=400); also drops the DISTINCT-ID dedup subquery
1256,thrombosis_prediction,moderate,aggregate,Predicate error,Predicate semantic error,"replaces gold's 'CRP=""+"" AND first_record_date IS NULL' with 'no Laboratory row has non-null CRP at all' - an entirely different, unrelated condition"
1257,thrombosis_prediction,challenging,aggregate,Predicate error,Filter value error,creatinine>1.2 instead of gold's >=1.5
1265,thrombosis_prediction,moderate,aggregate,Predicate error,Filter value error,uses 'normal' instead of 'negative'/'0' for RNP; 'admitted' instead of '+' for Admission
1267,thrombosis_prediction,moderate,aggregate,Nesting problem,wrong sub-query,"drops gold's WITH CTE structure (HAVING MAX(COALESCE(Thrombosis,0))=0 across ALL of a patient's exam records) in favor of a flat JOIN with thrombosis_degree IS NULL; also uses anti_sm='normal' instead of 'negative'/'0'"
1270,thrombosis_prediction,challenging,aggregate,JOIN errors,missing table,"anti_scl70 (SC170) lives on Laboratory, which predicted never joins (only Patient+Examination); also restructures the NOT EXISTS Symptoms check and uses sex='female' instead of 'F'"
1275,thrombosis_prediction,moderate,aggregate,Predicate error,Filter value error,uses 'normal' instead of 'negative'/'0' for both centromere and SSB; 'male' instead of 'M'
1281,thrombosis_prediction,moderate,retrieval,Predicate error,Predicate semantic error,"replaces GOT>=60 with an OR of AST/ALT>40 (wrong threshold, extra unrelated column); also uses MIN(birthday) (oldest patient) instead of finding the youngest"
1302,thrombosis_prediction,challenging,aggregate,Schema linking,wrong column,substitutes thrombosis_degree>0 for gold's (KCT='+' OR RVVT='+' OR LAC='+') coagulation-test check - entirely different columns
1317,student_club,moderate,aggregate,Predicate error,Predicate semantic error,"adds an unnecessary/likely-invalid major_id IN (SELECT... major_name='Student_Club') condition via subquery, which gold doesn't have at all"
1322,student_club,moderate,aggregate,Predicate error,Filter value error,type='meeting' (lowercase) doesn't match the stored value 'Meeting'
1331,student_club,simple,retrieval,JOIN errors,missing table,omits the member join entirely and misapplies 'Vice President' to income.source instead of member.position; also incorrectly SUMs the amount where gold just selects individual row(s)
1334,student_club,simple,retrieval,Predicate error,Predicate semantic error,"adds an extra, invalid m.position='Student_Club' condition gold doesn't have"
1338,student_club,moderate,retrieval,Predicate error,Predicate semantic error,uses exact equality event_date='2019-10-08' instead of gold's LIKE '2019-10-08%' pattern; also selects an extra expense_id column
1340,student_club,moderate,aggregate,Predicate error,Predicate semantic error,"adds an extra, seemingly-invalid budget.event_status='Student_Club' condition to both halves of the subtraction"
1344,student_club,simple,retrieval,Schema linking,wrong table,substitutes event (with its own notes/event_date/type columns) for income (source/date_received) - different real table despite both having a 'notes' column
1357,student_club,simple,retrieval,JOIN errors,missing table,"first_name/last_name live on member, which predicted never joins; also 'dues' case differs from stored 'Dues'"
1359,student_club,challenging,aggregate,Other,wrong aggregate function or scaling,computes COUNT(*) of budget rows exceeding a threshold subquery instead of gold's direct ratio SUM(kickoff amount)/SUM(october amount)
1376,student_club,moderate,retrieval,Nesting problem,HAVING clause mismatch,collapses gold's tie-preserving GROUP BY/HAVING nested MAX-ratio subquery to a plain ORDER BY/LIMIT 1
1380,student_club,simple,aggregate,Predicate error,Filter value error,category='food' (lowercase) doesn't match the stored value 'Food'
1387,student_club,moderate,retrieval,JOIN errors,missing table,"budget has no member_id column; the correct link is budget→expense (link_to_budget)→member (link_to_member), but predicted joins budget directly to member, skipping expense"
1390,student_club,moderate,aggregate,JOIN errors,missing table,"joins event directly to expense via `e.event_id = ex.budget_id` (an ID-space mismatch), omitting the budget table that correctly bridges event→budget→expense"
1392,student_club,simple,retrieval,GROUP BY errors,wrong column,introduces GROUP BY income_source + SUM(amount) ranking instead of gold's simple ORDER BY source DESC LIMIT 1
1394,student_club,simple,aggregate,Predicate error,Predicate semantic error,"adds an extra, invalid member.position='Student_Club' condition gold doesn't have"
1398,student_club,moderate,retrieval,Predicate error,Filter value error,category='advertisement' (lowercase) doesn't match the stored value 'Advertisement'
1403,student_club,moderate,retrieval,Schema linking,wrong column,recomputes 'remaining' via SUM(expense.cost) - budget.amount instead of using budget.remaining directly; drops the remaining<0 filter and sorts DESC instead of ASC
1404,student_club,moderate,aggregate,Schema linking,wrong column,references e.category (expense has no category column) when category actually lives on the already-joined budget table
1422,student_club,simple,retrieval,Schema linking,wrong table,selects budget.category (via an unnecessary budget join) instead of gold's event.type - budget is never referenced by gold at all
1427,student_club,moderate,retrieval,Predicate error,Filter value error,type='guest speaker' (case) doesn't match the stored value 'Guest Speaker'; also missing DISTINCT
1432,student_club,moderate,aggregate,Predicate error,Predicate semantic error,drops member.position='Member' entirely and substitutes an unrelated income.income_source='Student_Club' condition
1435,student_club,moderate,retrieval,Predicate error,Filter value error,type='game'/status='closed' (case) don't match stored 'Game'/'Closed'; also missing DISTINCT
1457,student_club,challenging,aggregate,Other,missing/redundant DISTINCT,outer query lacks DISTINCT; also drops the budget join within the AVG subquery entirely
1460,student_club,challenging,retrieval,Predicate error,Predicate semantic error,"splits the single exact description 'Water, Veggie tray, supplies' into a 3-value lowercased IN clause instead of matching the full combined string exactly"
1472,debit_card_specializing,moderate,aggregate,JOIN errors,missing table,"omits customers/Segment='LAM' filter entirely; also fails to SUM per customer, comparing to a global MIN reading instead"
1473,debit_card_specializing,moderate,aggregate,Predicate error,Predicate semantic error,"strftime('%Y', date) misapplied to yearmonth's 'YYYYMM' text format returns NULL, so the WHERE filter matches zero rows; also drops the per-customer SUM/derived-table + /12 scaling structure"
1476,debit_card_specializing,challenging,aggregate,Predicate error,Predicate semantic error,"strftime('%Y', y.date) misapplied to yearmonth.Date, stored as 'YYYYMM' text, not an ISO date string, so it returns NULL for all rows unlike gold's SUBSTR(Date,1,4)='2012'"
1479,debit_card_specializing,moderate,aggregate,GROUP BY errors,wrong column,"groups by strftime('%Y', date) (NULL for all rows since Date is 'YYYYMM' text) instead of gold's SUBSTR(Date,1,4), collapsing all years into one group"
1480,debit_card_specializing,moderate,aggregate,Predicate error,Predicate semantic error,"strftime('%Y', date) misapplied to 'YYYYMM' text returns NULL, so the WHERE filter matches zero rows; the also-wrong month-extraction/aggregate-choice in GROUP BY/ORDER BY are moot"
1481,debit_card_specializing,challenging,aggregate,Schema linking,wrong column,subqueries reference `consumption` directly on `customers` (no join to yearmonth in that scope) - a column that only exists on yearmonth; overall logic diverges hugely from gold's segment-comparison CTEs
1482,debit_card_specializing,challenging,aggregate,Predicate error,Predicate semantic error,"strftime('%Y', date) misapplied to yearmonth's 'YYYYMM' text returns NULL for every CASE WHEN comparison, zeroing out all three sums; also restructures gold's three scalar sums into a GROUP BY c.segment aggregation"
1483,debit_card_specializing,simple,aggregate,Predicate error,Predicate semantic error,"BETWEEN uses ISO-hyphenated date bounds ('2013-08-01'/'2013-11-30') against Date stored as plain 'YYYYMM' text, so none of customer 6's monthly rows satisfy the range"
1484,debit_card_specializing,simple,aggregate,Predicate error,Filter value error,'Czech Republic'/'Slovakia' used instead of the stored codes 'CZE'/'SVK'; also 'discount' case differs from gold's 'Discount'
1486,debit_card_specializing,simple,aggregate,JOIN errors,extra table,"unnecessary JOIN to transactions_1k multiplies each customer row by their transaction count, inflating the SUM"
1490,debit_card_specializing,moderate,aggregate,JOIN errors,Join type error,uses INNER JOIN where gold's LEFT JOIN preserves customers with no yearmonth rows; also drops the COUNT(DISTINCT...) per-customer dedup
1493,debit_card_specializing,simple,aggregate,Predicate error,Predicate semantic error,"BETWEEN '2012-02-01' AND '2012-02-29' (ISO-date literals) applied to Date stored as 'YYYYMM' text ('201202') never matches lexicographically, causing zero rows instead of gold's exact match Date='201202'"
1498,debit_card_specializing,simple,aggregate,GROUP BY errors,wrong column,"missing GROUP BY entirely (gold groups by month); also uses MAX instead of SUM, returning the single largest individual reading instead of the peak month's total"
1505,debit_card_specializing,simple,aggregate,Predicate error,Filter value error,currency='euro' instead of the stored code 'EUR'
1506,debit_card_specializing,moderate,retrieval,Predicate error,Filter value error,country='Czech Republic' instead of the stored code 'CZE'
1509,debit_card_specializing,moderate,aggregate,Predicate error,Filter value error,country='Czech Republic' instead of the stored code 'CZE'
1514,debit_card_specializing,simple,retrieval,Other,missing/redundant DISTINCT,"predicted omits DISTINCT and the (redundant, non-filtering) gasstations join that gold itself never references any column of; if multiple transactions share this exact date/time, duplicate currency values would appear"
1524,debit_card_specializing,simple,retrieval,Schema linking,wrong table,joins customers instead of gasstations for the Country lookup (both are 1-hop lookup joins from transactions_1k); also uses amount instead of price
1525,debit_card_specializing,simple,aggregate,Other,missing/redundant DISTINCT,"uses COUNT(*)/SUM(CASE) over raw transaction rows instead of gold's COUNT(DISTINCT CustomerID), double-counting customers with multiple matching transactions"
1526,debit_card_specializing,challenging,aggregate,Schema linking,wrong column,"subquery uses amount=634.8 instead of gold's price=634.8 (different real column) to identify the customer; also misses the per-year SUM aggregation, self-joining yearmonth month-rows directly"
1528,debit_card_specializing,simple,aggregate,JOIN errors,extra table,"unnecessary JOIN to transactions_1k multiplies each gas station row by its transaction count, inflating COUNT(*)/SUM; also 'premium' case differs from gold's 'Premium'"
1529,debit_card_specializing,moderate,aggregate,Schema linking,wrong column,selects amount alone instead of amount*price (the combined quantity needed for 'total spent')
1531,debit_card_specializing,moderate,aggregate,Schema linking,wrong column,ranks/selects the top customer by SUM(amount) alone instead of gold's SUM(amount*price); computes avg_price_per_item as plain AVG(price) instead of the amount-weighted average; also collapses gold's subquery+outer-query structure
1533,debit_card_specializing,moderate,retrieval,Predicate error,Predicate semantic error,"date filter uses LIKE '2012-08-%' (a hyphenated format) against yearmonth.Date stored as plain 'YYYYMM' text, matching zero rows instead of gold's exact Date='201208'; also drops the Price/Amount division, comparing raw Price instead"
